aborgardt.badWAF,executed,fts.json,R1,dharma,0,46,462
aborgardt.badWAF,executed,sixCombinedFilter-js.json,R1,dharma,0,2586,61
aborgardt.badWAF,executed,sixCombinedFilter.json,R1,dharma,0,2649,49
aborgardt.badWAF,executed,threeCombinedFilter-js.json,R1,dharma,0,1738,181
aborgardt.badWAF,executed,threeCombinedFilter.json,R1,dharma,0,1933,104
aborgardt.badWAF,executed,twoCombinedFilter-js.json,R1,dharma,0,537,352
aborgardt.badWAF,executed,twoCombinedFilter.json,R1,dharma,3,1,1
aborgardt.badWAF,executed,fbtq-js.json,R1,smarty,42,7,34
aborgardt.badWAF,executed,fbtq.json,R1,smarty,26,10,15
aborgardt.badWAF,executed,fdq-js.json,R1,smarty,0,649,489
aborgardt.badWAF,executed,fdq.json,R1,smarty,12,4,7
aborgardt.badWAF,executed,fe-js.json,R1,smarty,134,22,380
aborgardt.badWAF,executed,fe.json,R1,smarty,17,1,15
aborgardt.badWAF,executed,fiveCombinedFilter-js.json,R1,smarty,0,5898,248
aborgardt.badWAF,executed,fiveCombinedFilter.json,R1,smarty,0,7943,40
aborgardt.badWAF,executed,fka-js.json,R1,smarty,12,108,247
aborgardt.badWAF,executed,fka.json,R1,smarty,68,21,46
aborgardt.badWAF,executed,fkjs-js.json,R1,smarty,148,0,147
aborgardt.badWAF,executed,fkjs.json,R1,smarty,4,0,3
aborgardt.badWAF,executed,fks-js.json,R1,smarty,210,1,208
aborgardt.badWAF,executed,fks.json,R1,smarty,30,0,29
aborgardt.badWAF,executed,fourCombinedFilter-js.json,R1,smarty,0,1975,387
aborgardt.badWAF,executed,fourCombinedFilter.json,R1,smarty,129,5004,56
aborgardt.badWAF,executed,fpb-js.json,R1,smarty,0,9249,63
aborgardt.badWAF,executed,fpb.json,R1,smarty,0,9641,61
aborgardt.badWAF,executed,fsq-js.json,R1,smarty,119,32,86
aborgardt.badWAF,executed,fsq.json,R1,smarty,158,56,101
aborgardt.badWAF,executed,fts-js.json,R1,smarty,196,1,194
aborgardt.badWAF,executed,fts.json,R1,smarty,13,0,12
aborgardt.badWAF,executed,sixCombinedFilter-js.json,R1,smarty,0,6157,226
aborgardt.badWAF,executed,sixCombinedFilter.json,R1,smarty,27,15,11
aborgardt.badWAF,executed,threeCombinedFilter-js.json,R1,smarty,0,180,491
aborgardt.badWAF,executed,threeCombinedFilter.json,R1,smarty,25,9,15
aborgardt.badWAF,executed,twoCombinedFilter-js.json,R1,smarty,21,4,16
aborgardt.badWAF,executed,twoCombinedFilter.json,R1,smarty,13,6,6
aborgardt.badWAF,executed,fbtq-js.json,R10,dharma,0,405,172
aborgardt.badWAF,executed,fbtq.json,R10,dharma,397,283,113
aborgardt.badWAF,executed,fdq-js.json,R10,dharma,0,375,176
aborgardt.badWAF,executed,fdq.json,R10,dharma,399,264,134
aborgardt.badWAF,executed,fe-js.json,R10,dharma,0,133,214
aborgardt.badWAF,executed,fe.json,R10,dharma,86,33,52
aborgardt.badWAF,executed,fiveCombinedFilter-js.json,R10,dharma,0,1424,9
aborgardt.badWAF,executed,fiveCombinedFilter.json,R10,dharma,0,1424,8
aborgardt.badWAF,executed,fka-js.json,R10,dharma,0,101,214
aborgardt.badWAF,executed,fka.json,R10,dharma,165,51,113
aborgardt.badWAF,executed,fkjs-js.json,R10,dharma,0,23,231
aborgardt.badWAF,executed,fkjs.json,R10,dharma,7,1,5
aborgardt.badWAF,executed,fks-js.json,R10,dharma,0,66,224
aborgardt.badWAF,executed,fks.json,R10,dharma,0,69,218
aborgardt.badWAF,executed,fourCombinedFilter-js.json,R10,dharma,0,1268,34
aborgardt.badWAF,executed,fourCombinedFilter.json,R10,dharma,0,427,166
aborgardt.badWAF,executed,fpb-js.json,R10,dharma,0,979,81
aborgardt.badWAF,executed,fpb.json,R10,dharma,0,994,78
aborgardt.badWAF,executed,fsq-js.json,R10,dharma,0,427,168
aborgardt.badWAF,executed,fsq.json,R10,dharma,211,150,60
aborgardt.badWAF,executed,fts-js.json,R10,dharma,0,23,230
aborgardt.badWAF,executed,fts.json,R10,dharma,0,24,224
aborgardt.badWAF,executed,sixCombinedFilter-js.json,R10,dharma,0,1209,43
